timestamp,site,buy,sell
2025-10-25T22:21:38+03:00,topgold_100g,22749.0,22749.0
2025-10-25T22:21:38+03:00,zlatenrezerv_100g,22766.98,22364.55
2025-10-25T22:21:38+03:00,tavex_1g,256.0,232.0
2025-10-25T22:21:38+03:00,tavex_100g,22828.0,22458.0
2025-10-25T22:28:10+03:00,topgold_100g,22749.0,22749.0
2025-10-25T22:28:10+03:00,zlatenrezerv_100g,22766.98,22364.55
2025-10-25T22:28:10+03:00,tavex_1g,256.0,232.0
2025-10-25T22:28:10+03:00,tavex_100g,22828.0,22458.0
2025-10-25T22:36:18+03:00,topgold_100g,22749.0,22749.0
2025-10-25T22:36:18+03:00,zlatenrezerv_100g,22766.98,22364.55
2025-10-25T22:36:18+03:00,tavex_1g,256.0,232.0
2025-10-25T22:36:18+03:00,tavex_100g,22828.0,22458.0
2025-10-25T22:43:27+03:00,topgold_100g,22749.0,22749.0
2025-10-25T22:43:27+03:00,zlatenrezerv_100g,22766.98,22364.55
2025-10-25T22:43:27+03:00,tavex_1g,256.0,232.0
2025-10-25T22:43:27+03:00,tavex_100g,22828.0,22458.0
2025-10-25T22:50:05+03:00,topgold_100g,22749.0,22749.0
2025-10-25T22:50:05+03:00,zlatenrezerv_100g,22766.98,22364.55
2025-10-25T22:50:05+03:00,tavex_1g,256.0,232.0
2025-10-25T22:50:05+03:00,tavex_100g,22828.0,22458.0
2025-10-25T22:56:11+03:00,topgold_100g,22749.0,22749.0
2025-10-25T22:56:11+03:00,zlatenrezerv_100g,22766.98,22364.55
2025-10-25T22:56:11+03:00,tavex_1g,256.0,232.0
2025-10-25T22:56:11+03:00,tavex_100g,22828.0,22458.0
2025-10-25T23:12:08+03:00,topgold_100g,22749.0,22749.0
2025-10-25T23:12:08+03:00,zlatenrezerv_100g,22766.98,22364.55
2025-10-25T23:12:08+03:00,tavex_1g,256.0,232.0
2025-10-25T23:12:08+03:00,tavex_100g,22828.0,22458.0
2025-10-25T23:29:50+03:00,topgold_100g,22749.0,22749.0
2025-10-25T23:29:50+03:00,zlatenrezerv_100g,22766.98,22364.55
2025-10-25T23:29:50+03:00,tavex_1g,256.0,232.0
2025-10-25T23:29:50+03:00,tavex_100g,22828.0,22458.0
2025-10-25T23:39:36+03:00,topgold_100g,22749.0,22749.0
2025-10-25T23:39:36+03:00,zlatenrezerv_100g,22766.98,22364.55
2025-10-25T23:39:36+03:00,tavex_1g,256.0,232.0
2025-10-25T23:39:36+03:00,tavex_100g,22828.0,22458.0
2025-10-25T23:45:17+03:00,topgold_100g,22749.0,22749.0
2025-10-25T23:45:17+03:00,zlatenrezerv_100g,22766.98,22364.55
2025-10-25T23:45:17+03:00,tavex_1g,256.0,232.0
2025-10-25T23:45:17+03:00,tavex_100g,22828.0,22458.0
2025-10-25T23:51:52+03:00,topgold_100g,22749.0,22749.0
2025-10-25T23:51:52+03:00,zlatenrezerv_100g,22766.98,22364.55
2025-10-25T23:51:52+03:00,tavex_1g,256.0,232.0
2025-10-25T23:51:52+03:00,tavex_100g,22828.0,22458.0
2025-10-25T23:57:47+03:00,topgold_100g,22749.0,22749.0
2025-10-25T23:57:47+03:00,zlatenrezerv_100g,22766.98,22364.55
2025-10-25T23:57:47+03:00,tavex_1g,256.0,232.0
2025-10-25T23:57:47+03:00,tavex_100g,22828.0,22458.0
2025-10-26T00:12:45+03:00,topgold_100g,22749.0,22749.0
2025-10-26T00:12:45+03:00,zlatenrezerv_100g,22766.98,22364.55
2025-10-26T00:12:45+03:00,tavex_1g,256.0,232.0
2025-10-26T00:12:45+03:00,tavex_100g,22828.0,22458.0
2025-10-26T00:26:28+03:00,topgold_100g,22749.0,22749.0
2025-10-26T00:26:28+03:00,zlatenrezerv_100g,22766.98,22364.55
2025-10-26T00:26:28+03:00,tavex_1g,256.0,232.0
2025-10-26T00:26:28+03:00,tavex_100g,22828.0,22458.0
2025-10-26T00:33:40+03:00,topgold_100g,22749.0,22749.0
2025-10-26T00:33:40+03:00,zlatenrezerv_100g,22766.98,22364.55
2025-10-26T00:33:40+03:00,tavex_1g,256.0,232.0
2025-10-26T00:33:40+03:00,tavex_100g,22828.0,22458.0
2025-10-26T00:40:32+03:00,topgold_100g,22749.0,22749.0
2025-10-26T00:40:32+03:00,zlatenrezerv_100g,22766.98,22364.55
2025-10-26T00:40:32+03:00,tavex_1g,256.0,232.0
2025-10-26T00:40:32+03:00,tavex_100g,22828.0,22458.0
2025-10-26T00:47:08+03:00,topgold_100g,22749.0,22749.0
2025-10-26T00:47:08+03:00,zlatenrezerv_100g,22766.98,22364.55
2025-10-26T00:47:08+03:00,tavex_1g,256.0,232.0
2025-10-26T00:47:08+03:00,tavex_100g,22828.0,22458.0
2025-10-26T00:53:45+03:00,topgold_100g,22749.0,22749.0
2025-10-26T00:53:45+03:00,zlatenrezerv_100g,22766.98,22364.55
2025-10-26T00:53:45+03:00,tavex_1g,256.0,232.0
2025-10-26T00:53:45+03:00,tavex_100g,22828.0,22458.0
2025-10-26T01:00:29+03:00,topgold_100g,22749.0,22749.0
2025-10-26T01:00:29+03:00,zlatenrezerv_100g,22766.98,22364.55
2025-10-26T01:00:29+03:00,tavex_1g,256.0,232.0
2025-10-26T01:00:29+03:00,tavex_100g,22828.0,22458.0
2025-10-26T01:19:45+03:00,topgold_100g,22749.0,22749.0
2025-10-26T01:19:45+03:00,zlatenrezerv_100g,22766.98,22364.55
2025-10-26T01:19:45+03:00,tavex_1g,256.0,232.0
